p,q,AIC,BIC,HQIC
4,0,539.9269344352844,559.7190579004333,547.7749957641876
1,3,540.1516763670878,559.9437998322368,547.999737695991
1,2,545.963440247333,561.8074616058261,552.2453534313092
2,2,542.7724891991177,562.5775158972341,550.624880679088
3,1,544.0846602827626,563.889686980879,551.937051762733
1,4,541.3537241304807,565.0887483472698,550.7661858399291
4,1,541.648030719284,565.3985788774627,551.0657043139678
2,1,549.7080778737337,565.5623952482075,555.9934447683135
2,3,542.1118560795467,565.8624042377254,551.5295296742305
3,2,542.1534005472438,565.9194325849834,551.5762703232083
1,1,554.263490373969,566.1542284048244,558.9775155449039
2,4,541.210676258476,568.9015378447299,552.1918815861658
3,0,554.2807233596177,570.1247447181108,560.562636543594
4,2,543.3485290461326,571.0575018973411,554.3358149065971
3,3,543.3927910308286,571.1017638820371,554.380076891293
3,4,542.2982680285978,573.9449669843165,554.848216974529
4,3,543.3226953111769,574.9900928554151,555.8795934374219
0,4,555.5146089225111,575.2937957698352,563.358327013718
4,4,543.5759116971782,579.1784480223616,557.6946042613507
2,0,579.0425311719904,590.9332692028457,583.7565563429253
0,3,582.9565063885166,598.7902051606357,589.2349554516392
1,0,602.8083707275407,610.7406642057881,605.9527758542905
0,2,600.3682975793172,612.251313598187,605.0797324672994
0,1,611.8754852902182,619.8026439774551,615.0181687375081
